gameID,homeTeam,awayTeam,winTeam,loseTeam,date
1,16,3,16,3,10/19/21
2,13,10,10,13,10/19/21
3,4,12,4,12,10/20/21
4,9,5,5,9,10/20/21
5,19,2,19,2,10/20/21
6,27,29,29,27,10/20/21
7,14,6,14,6,10/20/21
8,17,11,17,11,10/20/21
9,18,22,22,18,10/20/21
10,26,21,26,21,10/20/21
11,28,20,28,20,10/20/21
12,24,25,25,24,10/20/21
13,23,8,8,23,10/20/21
14,1,7,1,7,10/21/21
15,15,16,15,16,10/21/21
16,10,30,10,30,10/21/21
17,21,19,19,21,10/22/21
18,29,12,29,12,10/22/21
19,6,4,4,6,10/22/21
20,2,27,27,2,10/22/21
21,22,3,3,22,10/22/21
22,11,20,11,20,10/22/21
23,5,18,5,18,10/22/21
24,8,26,8,26,10/22/21
25,13,23,23,13,10/22/21
26,25,28,28,25,10/22/21
27,6,1,6,1,10/23/21
28,12,15,12,15,10/23/21
29,27,7,7,27,10/23/21
30,5,9,5,9,10/23/21
31,17,18,17,18,10/23/21
32,26,16,16,26,10/23/21
33,24,23,24,23,10/23/21
34,30,14,14,30,10/23/21
35,3,4,4,3,10/24/21
36,11,2,2,11,10/24/21
37,19,21,21,19,10/24/21
38,20,22,22,20,10/24/21
39,25,10,10,25,10/24/21
40,13,14,13,14,10/24/21
41,4,2,,,10/25/21
42,12,16,,,10/25/21
43,27,5,,,10/25/21
44,15,21,,,10/25/21
45,3,29,,,10/25/21
46,1,9,,,10/25/21
47,17,18,,,10/25/21
48,8,6,,,10/25/21
49,30,24,,,10/25/21
50,19,22,,,10/26/21
51,20,10,,,10/26/21
52,26,13,,,10/26/21
53,7,11,,,10/26/21
54,28,8,,,10/26/21
55,21,4,,,10/27/21
56,2,29,,,10/27/21
57,3,15,,,10/27/21
58,27,12,,,10/27/21
59,18,1,,,10/27/21
60,16,17,,,10/27/21
61,20,13,,,10/27/21
62,23,25,,,10/27/21
63,24,14,,,10/27/21
64,30,6,,,10/27/21
65,29,1,,,10/28/21
66,22,9,,,10/28/21
67,11,28,,,10/28/21
68,5,19,,,10/28/21
69,7,26,,,10/28/21
70,10,14,,,10/28/21
71,27,21,,,10/29/21
72,15,4,,,10/29/21
73,3,12,,,10/29/21
74,18,25,,,10/29/21
75,8,7,,,10/29/21
76,24,30,,,10/29/21
77,13,6,,,10/29/21
78,29,2,,,10/30/21
79,9,21,,,10/30/21
80,18,19,,,10/30/21
81,12,27,,,10/30/21
82,22,1,,,10/30/21
83,5,28,,,10/30/21
84,14,15,,,10/30/21
85,16,26,,,10/30/21
86,10,20,,,10/30/21
87,17,8,,,10/30/21
88,23,6,,,10/30/21
89,7,25,,,10/31/21
90,4,24,,,10/31/21
91,16,28,,,10/31/21
92,3,9,,,10/31/21
93,13,11,,,10/31/21
94,4,6,,,11/01/21
95,12,26,,,11/01/21
96,22,24,,,11/01/21
97,1,29,,,11/01/21
98,2,5,,,11/01/21
99,19,27,,,11/01/21
100,14,8,,,11/01/21
101,17,21,,,11/01/21
102,30,20,,,11/01/21
103,9,16,,,11/02/21
104,7,15,,,11/02/21
105,28,25,,,11/02/21
106,23,18,,,11/02/21
107,13,11,,,11/02/21
108,6,24,,,11/03/21
109,12,19,,,11/03/21
110,21,2,,,11/03/21
111,22,5,,,11/03/21
112,29,27,,,11/03/21
113,3,1,,,11/03/21
114,14,8,,,11/03/21
115,17,30,,,11/03/21
116,26,7,,,11/03/21
117,10,4,,,11/03/21
118,25,18,,,11/03/21
119,9,22,,,11/04/21
120,1,28,,,11/04/21
121,15,2,,,11/04/21
122,23,11,,,11/04/21
123,13,20,,,11/04/21
124,9,3,,,11/05/21
125,21,26,,,11/05/21
126,29,14,,,11/05/21
127,16,19,,,11/05/21
128,27,6,,,11/05/21
129,17,30,,,11/05/21
130,10,18,,,11/05/21
131,24,12,,,11/05/21
132,25,4,,,11/05/21
133,8,11,,,11/06/21
134,15,28,,,11/06/21
135,5,22,,,11/06/21
136,7,2,,,11/06/21
137,23,1,,,11/06/21
138,24,13,,,11/06/21
139,27,3,,,11/07/21
140,19,6,,,11/07/21
141,21,28,,,11/07/21
142,25,12,,,11/07/21
143,29,16,,,11/07/21
144,20,26,,,11/07/21
145,10,11,,,11/07/21
146,30,4,,,11/07/21
147,22,19,,,11/08/21
148,5,3,,,11/08/21
149,14,17,,,11/08/21
150,7,18,,,11/08/21
151,8,15,,,11/08/21
152,10,1,,,11/08/21
153,25,23,,,11/08/21
154,13,4,,,11/08/21
155,22,16,,,11/09/21
156,28,1,,,11/09/21
157,30,24,,,11/09/21
158,6,29,,,11/10/21
159,21,3,,,11/10/21
160,2,27,,,11/10/21
161,11,9,,,11/10/21
162,19,16,,,11/10/21
163,5,7,,,11/10/21
164,14,4,,,11/10/21
165,18,20,,,11/10/21
166,26,25,,,11/10/21
167,8,12,,,11/10/21
168,23,24,,,11/10/21
169,10,17,,,11/10/21
170,13,15,,,11/10/21
171,22,27,,,11/11/21
172,28,12,,,11/11/21
173,30,15,,,11/11/21
174,4,19,,,11/12/21
175,2,16,,,11/12/21
176,6,9,,,11/12/21
177,11,24,,,11/12/21
178,14,23,,,11/12/21
179,18,3,,,11/12/21
180,20,25,,,11/12/21
181,26,7,,,11/12/21
182,8,1,,,11/12/21
183,10,5,,,11/12/21
184,13,17,,,11/12/21
185,28,15,,,11/13/21
186,12,22,,,11/13/21
187,18,14,,,11/13/21
188,21,29,,,11/13/21
189,27,9,,,11/13/21
190,6,2,,,11/13/21
191,30,17,,,11/13/21
192,13,26,,,11/14/21
193,1,16,,,11/14/21
194,4,10,,,11/14/21
195,11,23,,,11/14/21
196,20,3,,,11/14/21
197,8,24,,,11/14/21
198,30,5,,,11/14/21
199,6,2,,,11/15/21
200,9,25,,,11/15/21
201,29,18,,,11/15/21
202,1,21,,,11/15/21
203,19,12,,,11/15/21
204,7,8,,,11/15/21
205,14,11,,,11/15/21
206,17,23,,,11/15/21
207,20,15,,,11/15/21
208,24,27,,,11/15/21
209,13,5,,,11/15/21
210,3,10,,,11/16/21
211,28,22,,,11/16/21
212,30,26,,,11/16/21
213,4,29,,,11/17/21
214,9,12,,,11/17/21
215,1,2,,,11/17/21
216,3,6,,,11/17/21
217,15,18,,,11/17/21
218,16,13,,,11/17/21
219,19,21,,,11/17/21
220,17,25,,,11/17/21
221,20,11,,,11/17/21
222,23,7,,,11/17/21
223,24,5,,,11/17/21
224,6,10,,,11/18/21
225,15,29,,,11/18/21
226,14,30,,,11/18/21
227,17,26,,,11/18/21
228,8,22,,,11/18/21
229,28,27,,,11/18/21
230,4,12,,,11/19/21
231,9,10,,,11/19/21
232,2,13,,,11/19/21
233,3,21,,,11/19/21
234,16,20,,,11/19/21
235,18,30,,,11/19/21
236,8,5,,,11/19/21
237,23,7,,,11/19/21
238,25,27,,,11/19/21
239,19,11,,,11/20/21
240,12,18,,,11/20/21
241,29,15,,,11/20/21
242,1,4,,,11/20/21
243,2,20,,,11/20/21
244,16,21,,,11/20/21
245,17,14,,,11/20/21
246,24,22,,,11/20/21
247,25,28,,,11/20/21
248,30,7,,,11/21/21
249,9,13,,,11/21/21
250,5,19,,,11/21/21
251,23,8,,,11/21/21
252,10,27,,,11/21/21
253,6,3,,,11/22/21
254,29,4,,,11/22/21
255,1,20,,,11/22/21
256,2,11,,,11/22/21
257,5,12,,,11/22/21
258,16,21,,,11/22/21
